Central Darling (A)	New South Wales	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 1,451 
Cessnock (C)	New South Wales	Inner Regional Australia	83.7%	49.2%	 47,375 
Clarence Valley (A)	New South Wales	Inner Regional Australia	83.9%	50.3%	 42,953 
Cobar (A)	New South Wales	Remote Australia - see note and refer to SA4 data	N/A	N/A	 3,621 
Coffs Harbour (C)	New South Wales	Inner Regional Australia	84.0%	51.0%	 62,689 
Coolamon (A)	New South Wales	Inner Regional Australia	90.2%	61.8%	 3,477 
Coonamble (A)	New South Wales	Remote Australia - see note and refer to SA4 data	N/A	N/A	 3,075 
Cootamundra-Gundagai Regional (A)	New South Wales	Inner Regional Australia	94.5%	70.7%	 9,187 
Cowra (A)	New South Wales	Inner Regional Australia	92.1%	65.6%	 10,456 
Cumberland (A)	New South Wales	Major Cities of Australia	89.9%	66.1%	 192,534 
Dubbo Regional (A)	New South Wales	Inner Regional Australia	93.5%	73.4%	 42,195 
Dungog (A)	New South Wales	Inner Regional Australia	88.4%	58.7%	 7,623 
Edward River (A)	New South Wales	Inner Regional Australia	60.3%	45.0%	 7,426 
Eurobodalla (A)	New South Wales	Inner Regional Australia	>95%	72.5%	 32,891 
Fairfield (C)	New South Wales	Major Cities of Australia	90.2%	68.9%	 172,126 
Federation (A)	New South Wales	Inner Regional Australia	94.2%	62.5%	 10,325 
Forbes (A)	New South Wales	Outer Regional Australia	90.1%	67.8%	 7,865 
Georges River (A)	New South Wales	Major Cities of Australia	87.0%	67.5%	 133,798 
Gilgandra (A)	New South Wales	Outer Regional Australia	>95%	77.4%	 3,346 
Glen Innes Severn (A)	New South Wales	Outer Regional Australia	87.8%	64.8%	 7,359 
Goulburn Mulwaree (A)	New South Wales	Inner Regional Australia	88.5%	58.2%	 25,395 
Greater Hume Shire (A)	New South Wales	Inner Regional Australia	85.6%	52.0%	 8,458 
Griffith (C)	New South Wales	Outer Regional Australia	90.1%	61.4%	 21,512 
Gunnedah (A)	New South Wales	Outer Regional Australia	89.0%	46.4%	 9,949 
Gwydir (A)	New South Wales	Outer Regional Australia	84.2%	52.4%	 4,307 
Hawkesbury (C)	New South Wales	Major Cities of Australia	91.5%	70.3%	 54,071 
Hay (A)	New South Wales	Outer Regional Australia	94.5%	76.8%	 2,422 
Hilltops (A)	New South Wales	Inner Regional Australia	94.6%	66.9%	 14,962 
Hornsby (A)	New South Wales	Major Cities of Australia	>95%	81.6%	 122,259 
Hunters Hill (A)	New South Wales	Major Cities of Australia	87.1%	75.7%	 12,189 
Inner West (A)	New South Wales	Major Cities of Australia	80.8%	68.7%	 171,244 
Inverell (A)	New South Wales	Outer Regional Australia	81.3%	49.8%	 13,454 
Junee (A)	New South Wales	Inner Regional Australia	77.0%	52.5%	 5,520 
Kempsey (A)	New South Wales	Inner Regional Australia	85.7%	52.1%	 24,440 
Kiama (A)	New South Wales	Inner Regional Australia	93.1%	72.0%	 19,363 
Ku-ring-gai (A)	New South Wales	Major Cities of Australia	>95%	84.4%	 101,869 
Kyogle (A)	New South Wales	Inner Regional Australia	77.7%	50.3%	 7,285 
Lachlan (A)	New South Wales	Outer Regional Australia	>95%	77.2%	 4,668 
Lake Macquarie (C)	New South Wales	Major Cities of Australia	90.8%	61.0%	 167,047 
Lane Cove (A)	New South Wales	Major Cities of Australia	90.4%	77.4%	 32,784 
Leeton (A)	New South Wales	Outer Regional Australia	81.9%	52.7%	 9,024 
Lismore (C)	New South Wales	Inner Regional Australia	80.8%	47.0%	 35,892 
Lithgow (C)	New South Wales	Inner Regional Australia	86.4%	59.6%	 17,865 
Liverpool (C)	New South Wales	Major Cities of Australia	89.7%	68.5%	 176,376 
Liverpool Plains (A)	New South Wales	Outer Regional Australia	85.3%	52.7%	 6,396 
Lockhart (A)	New South Wales	Outer Regional Australia	90.2%	65.3%	 2,585 
Maitland (C)	New South Wales	Major Cities of Australia	88.6%	55.1%	 66,688 
Mid-Coast (A)	New South Wales	Inner Regional Australia	87.3%	58.2%	 79,221 
Mid-Western Regional (A)	New South Wales	Inner Regional Australia	92.4%	68.3%	 19,963 
Moree Plains (A)	New South Wales	Outer Regional Australia	79.6%	55.7%	 10,216 
Mosman (A)	New South Wales	Major Cities of Australia	90.0%	78.1%	 25,604 
Murray River (A)	New South Wales	Inner Regional Australia	>95%	80.2%	 9,910 
Murrumbidgee (A)	New South Wales	Outer Regional Australia	80.9%	51.6%	 3,114 
Muswellbrook (A)	New South Wales	Inner Regional Australia	81.3%	47.7%	 12,673 
Nambucca (A)	New South Wales	Outer Regional Australia	84.2%	55.1%	 16,485 
Narrabri (A)	New South Wales	Outer Regional Australia	87.8%	58.8%	 10,213 
Narrandera (A)	New South Wales	Outer Regional Australia	86.1%	54.0%	 4,651 
Narromine (A)	New South Wales	Outer Regional Australia	94.1%	69.3%	 5,093 
Newcastle (C)	New South Wales	Major Cities of Australia	85.1%	58.9%	 137,452 
North Sydney (A)	New South Wales	Major Cities of Australia	82.9%	70.5%	 65,324 
Northern Beaches (A)	New South Wales	Major Cities of Australia	92.5%	76.3%	 221,234 
Oberon (A)	New South Wales	Inner Regional Australia	89.1%	66.8%	 4,472 
Orange (C)	New South Wales	Inner Regional Australia	>95%	72.6%	 33,170 
Parkes (A)	New South Wales	Outer Regional Australia	88.9%	66.8%	 11,785 
Parramatta (C)	New South Wales	Major Cities of Australia	91.5%	72.4%	 209,432 
Penrith (C)	New South Wales	Major Cities of Australia	90.7%	68.5%	 167,408 
Port Macquarie-Hastings (A)	New South Wales	Inner Regional Australia	91.4%	63.0%	 70,143 
Port Stephens (A)	New South Wales	Inner Regional Australia	90.7%	62.1%	 60,306 
Queanbeyan-Palerang Regional (A)	New South Wales	Major Cities of Australia	88.3%	59.5%	 48,845 
Randwick (C)	New South Wales	Major Cities of Australia	78.1%	63.4%	 133,377 
Richmond Valley (A)	New South Wales	Inner Regional Australia	78.7%	49.8%	 18,938 
Ryde (C)	New South Wales	Major Cities of Australia	88.3%	72.2%	 110,141 
Shellharbour (C)	New South Wales	Major Cities of Australia	92.1%	63.7%	 58,715 
Shoalhaven (C)	New South Wales	Inner Regional Australia	91.9%	66.0%	 87,725 
Singleton (A)	New South Wales	Inner Regional Australia	87.2%	49.9%	 18,334 
Snowy Monaro Regional (A)	New South Wales	Outer Regional Australia	88.1%	60.8%	 17,214 
Snowy Valleys (A)	New South Wales	Inner Regional Australia	86.3%	59.7%	 11,726 
Strathfield (A)	New South Wales	Major Cities of Australia	88.7%	68.8%	 40,017 
Sutherland Shire (A)	New South Wales	Major Cities of Australia	93.8%	77.9%	 187,018 
Sydney (C)	New South Wales	Major Cities of Australia	71.4%	58.4%	 229,059 
Tamworth Regional (A)	New South Wales	Inner Regional Australia	88.1%	57.1%	 49,648 
Temora (A)	New South Wales	Outer Regional Australia	90.0%	54.8%	 5,095 
Tenterfield (A)	New South Wales	Outer Regional Australia	78.1%	45.1%	 5,553 
The Hills Shire (A)	New South Wales	Major Cities of Australia	>95%	84.9%	 140,271 
Tweed (A)	New South Wales	Major Cities of Australia	80.2%	52.5%	 80,193 
Upper Hunter Shire (A)	New South Wales	Inner Regional Australia	92.3%	66.9%	 11,302 
Upper Lachlan Shire (A)	New South Wales	Inner Regional Australia	94.5%	65.8%	 6,603 
Uralla (A)	New South Wales	Outer Regional Australia	88.7%	62.3%	 4,895 
Wagga Wagga (C)	New South Wales	Inner Regional Australia	87.4%	60.6%	 51,794 
Walcha (A)	New South Wales	Outer Regional Australia	91.7%	75.7%	 2,585 
Walgett (A)	New South Wales	Remote Australia - see note and refer to SA4 data	N/A	N/A	 4,688 
Warren (A)	New South Wales	Outer Regional Australia	>95%	72.3%	 2,115 
Warrumbungle Shire (A)	New South Wales	Outer Regional Australia	89.1%	68.0%	 7,566 
Waverley (A)	New South Wales	Major Cities of Australia	82.6%	69.1%	 62,490 
Weddin (A)	New South Wales	Outer Regional Australia	95.0%	70.2%	 3,030 
Wentworth (A)	New South Wales	Outer Regional Australia	81.5%	56.6%	 5,625 
Willoughby (C)	New South Wales	Major Cities of Australia	89.2%	73.9%	 65,599 
Wingecarribee (A)	New South Wales	Inner Regional Australia	94.8%	71.2%	 42,191 
Wollondilly (A)	New South Wales	Inner Regional Australia	90.0%	68.3%	 41,492 
Wollongong (C)	New South Wales	Major Cities of Australia	86.2%	63.3%	 179,317 
Woollahra (A)	New South Wales	Major Cities of Australia	87.4%	76.7%	 50,326 
Yass Valley (A)	New South Wales	Inner Regional Australia	91.8%	63.0%	 13,497 
Unincorporated NSW	New South Wales	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 801 
Alpine (S)	Victoria	Inner Regional Australia	89.9%	65.7%	 10,732 
Ararat (RC)	Victoria	Inner Regional Australia	85.9%	59.0%	 9,944 
Ballarat (C)	Victoria	Inner Regional Australia	88.4%	57.4%	 88,323 
Banyule (C)	Victoria	Major Cities of Australia	86.6%	59.9%	 107,523 
Bass Coast (S)	Victoria	Inner Regional Australia	93.9%	64.0%	 30,332 
Baw Baw (S)	Victoria	Inner Regional Australia	85.0%	55.7%	 42,887 
Bayside (C)	Victoria	Major Cities of Australia	91.2%	68.1%	 87,219 
Benalla (RC)	Victoria	Inner Regional Australia	90.3%	65.1%	 11,824 
Boroondara (C)	Victoria	Major Cities of Australia	85.7%	62.8%	 152,935 
Brimbank (C)	Victoria	Major Cities of Australia	78.3%	43.7%	 171,362 
Buloke (S)	Victoria	Outer Regional Australia	95.0%	70.3%	 5,123 
Campaspe (S)	Victoria	Inner Regional Australia	92.5%	60.2%	 30,917 
Cardinia (S)	Victoria	Major Cities of Australia	84.7%	48.9%	 86,129 
Casey (C)	Victoria	Major Cities of Australia	83.4%	46.5%	 273,232 
Central Goldfields (S)	Victoria	Inner Regional Australia	87.0%	62.7%	 11,110 
Colac-Otway (S)	Victoria	Inner Regional Australia	87.4%	57.8%	 17,696 
Corangamite (S)	Victoria	Inner Regional Australia	92.3%	62.0%	 13,141 
Darebin (C)	Victoria	Major Cities of Australia	73.5%	46.6%	 139,021 
East Gippsland (S)	Victoria	Outer Regional Australia	89.0%	63.5%	 39,596 
Frankston (C)	Victoria	Major Cities of Australia	80.9%	50.5%	 115,844 
Gannawarra (S)	Victoria	Outer Regional Australia	91.2%	62.4%	 8,756 
Glen Eira (C)	Victoria	Major Cities of Australia	83.5%	57.8%	 128,766 
Glenelg (S)	Victoria	Outer Regional Australia	88.7%	59.3%	 16,561 
Golden Plains (S)	Victoria	Inner Regional Australia	89.0%	55.2%	 18,450 
Greater Bendigo (C)	Victoria	Inner Regional Australia	87.9%	60.2%	 95,200 
Greater Dandenong (C)	Victoria	Major Cities of Australia	78.7%	40.7%	 138,053 
Greater Geelong (C)	Victoria	Major Cities of Australia	90.6%	61.4%	 211,830 
Greater Shepparton (C)	Victoria	Inner Regional Australia	88.9%	52.1%	 52,988 
Hepburn (S)	Victoria	Inner Regional Australia	88.7%	63.7%	 13,467 
Hindmarsh (S)	Victoria	Outer Regional Australia	88.6%	59.5%	 4,723 
Hobsons Bay (C)	Victoria	Major Cities of Australia	81.5%	53.9%	 79,604 
Horsham (RC)	Victoria	Outer Regional Australia	88.7%	59.4%	 16,016 
Hume (C)	Victoria	Major Cities of Australia	80.7%	40.1%	 180,782 
Indigo (S)	Victoria	Inner Regional Australia	92.8%	62.0%	 13,733 
Kingston (C) (Vic.)	Victoria	Major Cities of Australia	83.9%	55.3%	 136,655 
Knox (C)	Victoria	Major Cities of Australia	85.0%	53.8%	 135,647 
Latrobe (C) (Vic.)	Victoria	Inner Regional Australia	79.3%	48.9%	 61,811 
Loddon (S)	Victoria	Outer Regional Australia	87.1%	60.7%	 6,339 
Macedon Ranges (S)	Victoria	Inner Regional Australia	94.8%	67.3%	 39,626 
Manningham (C)	Victoria	Major Cities of Australia	86.4%	57.1%	 106,558 
Mansfield (S)	Victoria	Outer Regional Australia	89.9%	59.5%	 7,567 
Maribyrnong (C)	Victoria	Major Cities of Australia	76.3%	49.4%	 79,009 
Maroondah (C)	Victoria	Major Cities of Australia	84.8%	55.1%	 96,377 
Melbourne (C)	Victoria	Major Cities of Australia	68.3%	38.4%	 168,298 
Melton (C)	Victoria	Major Cities of Australia	81.7%	44.1%	 124,611 
Mildura (RC)	Victoria	Outer Regional Australia	83.7%	49.2%	 45,044 
Mitchell (S)	Victoria	Inner Regional Australia	85.0%	50.4%	 36,387 
Moira (S)	Victoria	Inner Regional Australia	91.2%	58.4%	 24,759 
Monash (C)	Victoria	Major Cities of Australia	80.7%	50.8%	 171,519 
Moonee Valley (C)	Victoria	Major Cities of Australia	81.5%	55.0%	 108,789 
Moorabool (S)	Victoria	Major Cities of Australia	89.0%	53.9%	 27,901 
Moreland (C)	Victoria	Major Cities of Australia	75.2%	47.1%	 156,305 
Mornington Peninsula (S)	Victoria	Major Cities of Australia	88.6%	62.6%	 138,719 
Mount Alexander (S)	Victoria	Inner Regional Australia	90.0%	65.9%	 16,789 
Moyne (S)	Victoria	Inner Regional Australia	91.8%	62.5%	 13,498 
Murrindindi (S)	Victoria	Inner Regional Australia	84.7%	55.9%	 12,242 
Nillumbik (S)	Victoria	Major Cities of Australia	92.4%	63.4%	 52,476 
Northern Grampians (S)	Victoria	Inner Regional Australia	90.8%	62.4%	 9,646 
Port Phillip (C)	Victoria	Major Cities of Australia	74.5%	52.5%	 102,175 
Pyrenees (S)	Victoria	Inner Regional Australia	85.7%	58.6%	 6,297 
Queenscliffe (B)	Victoria	Inner Regional Australia	>95%	87.7%	 2,610 
South Gippsland (S)	Victoria	Inner Regional Australia	88.2%	59.2%	 24,475 
Southern Grampians (S)	Victoria	Inner Regional Australia	92.7%	64.8%	 13,285 
Stonnington (C)	Victoria	Major Cities of Australia	77.5%	55.3%	 103,900 
Strathbogie (S)	Victoria	Inner Regional Australia	90.7%	61.9%	 9,174 
Surf Coast (S)	Victoria	Inner Regional Australia	>95%	71.8%	 26,584 
Swan Hill (RC)	Victoria	Outer Regional Australia	>95%	58.0%	 16,639 
Towong (S)	Victoria	Outer Regional Australia	90.9%	63.5%	 5,068 
Wangaratta (RC)	Victoria	Inner Regional Australia	91.2%	61.7%	 23,818 
Warrnambool (C)	Victoria	Inner Regional Australia	94.2%	65.3%	 28,859 
Wellington (S)	Victoria	Inner Regional Australia	85.0%	60.0%	 36,486 
West Wimmera (S)	Victoria	Outer Regional Australia	87.7%	62.3%	 3,178 
Whitehorse (C)	Victoria	Major Cities of Australia	84.5%	55.2%	 149,611 
Whittlesea (C)	Victoria	Major Cities of Australia	78.4%	42.3%	 180,925 
Wodonga (C)	Victoria	Inner Regional Australia	86.0%	56.6%	 33,295 
Wyndham (C)	Victoria	Major Cities of Australia	89.2%	48.5%	 201,181 
Yarra (C)	Victoria	Major Cities of Australia	72.5%	51.1%	 90,535 
Yarra Ranges (S)	Victoria	Major Cities of Australia	83.6%	51.3%	 129,169 
Yarriambiack (S)	Victoria	Outer Regional Australia	89.9%	65.6%	 5,517 
Unincorporated Vic	Victoria	Outer Regional Australia	41.8%	22.7%	 768 
Aurukun (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 1,015 
Balonne (S)	Queensland	Remote Australia - see note and refer to SA4 data	N/A	N/A	 3,368 
Banana (S)	Queensland	Outer Regional Australia	56.2%	38.3%	 11,003 
Barcaldine (R)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 2,254 
Barcoo (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 230 
Blackall-Tambo (R)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 1,476 
Boulia (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 336 
Brisbane (C)	Queensland	Major Cities of Australia	74.7%	55.3%	 1,033,592 
Bulloo (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 272 
Bundaberg (R)	Queensland	Inner Regional Australia	68.5%	48.8%	 79,061 
Burdekin (S)	Queensland	Outer Regional Australia	64.3%	44.5%	 14,053 
Burke (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 289 
Cairns (R)	Queensland	Outer Regional Australia	68.7%	52.6%	 133,038 
Carpentaria (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 1,547 
Cassowary Coast (R)	Queensland	Outer Regional Australia	63.4%	44.3%	 24,343 
Central Highlands (R) (Qld)	Queensland	Outer Regional Australia	50.2%	34.5%	 21,430 
Charters Towers (R)	Queensland	Outer Regional Australia	53.6%	34.5%	 9,384 
Cherbourg (S)	Queensland	Inner Regional Australia	30.2%	19.0%	 841 
Cloncurry (S)	Queensland	Remote Australia - see note and refer to SA4 data	N/A	N/A	 2,437 
Cook (S)	Queensland	Remote Australia - see note and refer to SA4 data	N/A	N/A	 3,640 
Croydon (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 216 
Diamantina (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 252 
Doomadgee (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 922 
Douglas (S)	Queensland	Outer Regional Australia	66.3%	48.2%	 10,354 
Etheridge (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 616 
Flinders (S) (Qld)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 1,209 
Fraser Coast (R)	Queensland	Inner Regional Australia	71.4%	52.9%	 88,940 
Gladstone (R)	Queensland	Inner Regional Australia	58.1%	40.7%	 48,845 
Gold Coast (C)	Queensland	Major Cities of Australia	65.8%	45.5%	 507,632 
Goondiwindi (R)	Queensland	Outer Regional Australia	85.8%	72.1%	 8,385 
Gympie (R)	Queensland	Inner Regional Australia	63.3%	44.3%	 42,934 
Hinchinbrook (S)	Queensland	Outer Regional Australia	75.7%	60.2%	 9,092 
Hope Vale (S)	Queensland	Remote Australia - see note and refer to SA4 data	N/A	N/A	 783 
Ipswich (C)	Queensland	Major Cities of Australia	63.6%	43.7%	 169,205 
Isaac (R)	Queensland	Outer Regional Australia	37.5%	22.5%	 15,572 
Kowanyama (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 710 
Livingstone (S)	Queensland	Inner Regional Australia	59.8%	43.7%	 30,952 
Lockhart River (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 560 
Lockyer Valley (R)	Queensland	Inner Regional Australia	60.0%	39.9%	 33,721 
Logan (C)	Queensland	Major Cities of Australia	60.5%	37.9%	 257,354 
Longreach (R)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 2,855 
Mackay (R)	Queensland	Inner Regional Australia	60.6%	40.9%	 92,238 
McKinlay (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 646 
Mapoon (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 252 
Maranoa (R)	Queensland	Outer Regional Australia	70.0%	58.7%	 9,851 
Mareeba (S)	Queensland	Outer Regional Australia	56.1%	42.6%	 18,704 
Moreton Bay (R)	Queensland	Major Cities of Australia	70.8%	49.8%	 372,012 
Mornington (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 875 
Mount Isa (C)	Queensland	Remote Australia - see note and refer to SA4 data	N/A	N/A	 14,035 
Murweh (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 3,371 
Napranum (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 728 
Noosa (S)	Queensland	Major Cities of Australia	73.1%	54.2%	 47,060 
North Burnett (R)	Queensland	Outer Regional Australia	60.9%	46.4%	 8,782 
Northern Peninsula Area (R)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 2,018 
Palm Island (S)	Queensland	Remote Australia - see note and refer to SA4 data	N/A	N/A	 1,828 
Paroo (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 1,254 
Pormpuraaw (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 581 
Quilpie (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 582 
Redland (C)	Queensland	Major Cities of Australia	73.0%	50.5%	 128,912 
Richmond (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 627 
Rockhampton (R)	Queensland	Inner Regional Australia	59.4%	42.6%	 64,482 
Scenic Rim (R)	Queensland	Inner Regional Australia	63.7%	42.5%	 35,027 
Somerset (R)	Queensland	Inner Regional Australia	63.4%	45.2%	 20,963 
South Burnett (R)	Queensland	Inner Regional Australia	60.4%	39.9%	 26,417 
Southern Downs (R)	Queensland	Inner Regional Australia	72.3%	51.4%	 28,960 
Sunshine Coast (R)	Queensland	Major Cities of Australia	70.4%	52.0%	 268,741 
Tablelands (R)	Queensland	Outer Regional Australia	67.1%	52.3%	 20,959 
Toowoomba (R)	Queensland	Inner Regional Australia	70.1%	49.7%	 134,800 
Torres (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 2,882 
Torres Strait Island (R)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 3,436 
Townsville (C)	Queensland	Outer Regional Australia	65.8%	50.6%	 156,137 
Weipa (T)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 3,180 
Western Downs (R)	Queensland	Outer Regional Australia	60.6%	40.8%	 26,827 
Whitsunday (R)	Queensland	Outer Regional Australia	57.7%	34.1%	 29,012 
Winton (S)	Queensland	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 967 
Woorabinda (S)	Queensland	Remote Australia - see note and refer to SA4 data	N/A	N/A	 679 
Wujal Wujal (S)	Queensland	Remote Australia - see note and refer to SA4 data	N/A	N/A	 229 
Yarrabah (S)	Queensland	Outer Regional Australia	31.8%	18.2%	 1,919 
Adelaide (C)	South Australia	Major Cities of Australia	73.6%	55.5%	 24,015 
Adelaide Hills (DC)	South Australia	Major Cities of Australia	81.1%	63.1%	 32,450 
Adelaide Plains (DC)	South Australia	Inner Regional Australia	56.1%	37.6%	 7,450 
Alexandrina (DC)	South Australia	Inner Regional Australia	72.0%	55.2%	 23,281 
Anangu Pitjantjatjara (AC)	South Australia	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 1,947 
Barossa (DC)	South Australia	Inner Regional Australia	75.7%	58.5%	 20,392 
Barunga West (DC)	South Australia	Outer Regional Australia	73.2%	60.7%	 2,207 
Berri and Barmera (DC)	South Australia	Outer Regional Australia	69.6%	46.7%	 8,879 
Burnside (C)	South Australia	Major Cities of Australia	85.0%	68.4%	 37,949 
Campbelltown (C) (SA)	South Australia	Major Cities of Australia	72.0%	52.2%	 43,509 
Ceduna (DC)	South Australia	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 2,730 
Charles Sturt (C)	South Australia	Major Cities of Australia	66.2%	47.3%	 100,321 
Clare and Gilbert Valleys (DC)	South Australia	Inner Regional Australia	74.7%	57.0%	 7,775 
Cleve (DC)	South Australia	Remote Australia - see note and refer to SA4 data	N/A	N/A	 1,443 
Coober Pedy (DC)	South Australia	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 1,512 
Copper Coast (DC)	South Australia	Outer Regional Australia	70.9%	53.1%	 12,687 
Elliston (DC)	South Australia	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 805 
Flinders Ranges (DC)	South Australia	Outer Regional Australia	74.1%	57.4%	 1,418 
Franklin Harbour (DC)	South Australia	Remote Australia - see note and refer to SA4 data	N/A	N/A	 1,076 
Gawler (T)	South Australia	Major Cities of Australia	73.4%	53.1%	 19,974 
Goyder (DC)	South Australia	Outer Regional Australia	61.5%	43.6%	 3,524 
Grant (DC)	South Australia	Outer Regional Australia	20.8%	11.5%	 7,072 
Holdfast Bay (C)	South Australia	Major Cities of Australia	81.3%	64.2%	 32,295 
Kangaroo Island (DC)	South Australia	Remote Australia - see note and refer to SA4 data	N/A	N/A	 4,161 
Karoonda East Murray (DC)	South Australia	Outer Regional Australia	57.9%	42.6%	 915 
Kimba (DC)	South Australia	Remote Australia - see note and refer to SA4 data	N/A	N/A	 813 
Kingston (DC) (SA)	South Australia	Outer Regional Australia	76.6%	59.4%	 1,982 
Light (RegC)	South Australia	Inner Regional Australia	59.0%	42.7%	 12,222 
Lower Eyre Peninsula (DC)	South Australia	Remote Australia - see note and refer to SA4 data	N/A	N/A	 4,679 
Loxton Waikerie (DC)	South Australia	Outer Regional Australia	68.0%	44.8%	 9,682 
Maralinga Tjarutja (AC)	South Australia	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 61 
