Central Coast (C) (NSW),New South Wales,Major Cities of Australia,81.9%,51.5%," 279,484 "
Central Darling (A),New South Wales,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,451 "
Cessnock (C),New South Wales,Inner Regional Australia,70.0%,36.9%," 47,375 "
Clarence Valley (A),New South Wales,Inner Regional Australia,74.5%,41.5%," 42,953 "
Cobar (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,621 "
Coffs Harbour (C),New South Wales,Inner Regional Australia,72.8%,42.1%," 62,689 "
Coolamon (A),New South Wales,Inner Regional Australia,81.1%,50.7%," 3,477 "
Coonamble (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,075 "
Cootamundra-Gundagai Regional (A),New South Wales,Inner Regional Australia,87.6%,57.6%," 9,187 "
Cowra (A),New South Wales,Inner Regional Australia,85.1%,49.8%," 10,456 "
Cumberland (A),New South Wales,Major Cities of Australia,85.0%,48.5%," 192,534 "
Dubbo Regional (A),New South Wales,Inner Regional Australia,88.9%,54.7%," 42,195 "
Dungog (A),New South Wales,Inner Regional Australia,78.3%,48.3%," 7,623 "
Edward River (A),New South Wales,Inner Regional Australia,55.4%,37.6%," 7,426 "
Eurobodalla (A),New South Wales,Inner Regional Australia,89.3%,60.1%," 32,891 "
Fairfield (C),New South Wales,Major Cities of Australia,84.9%,51.0%," 172,126 "
Federation (A),New South Wales,Inner Regional Australia,85.5%,52.0%," 10,325 "
Forbes (A),New South Wales,Outer Regional Australia,86.8%,56.6%," 7,865 "
Georges River (A),New South Wales,Major Cities of Australia,83.1%,51.1%," 133,798 "
Gilgandra (A),New South Wales,Outer Regional Australia,92.9%,56.9%," 3,346 "
Glen Innes Severn (A),New South Wales,Outer Regional Australia,79.9%,49.6%," 7,359 "
Goulburn Mulwaree (A),New South Wales,Inner Regional Australia,74.5%,44.5%," 25,395 "
Greater Hume Shire (A),New South Wales,Inner Regional Australia,73.8%,42.1%," 8,458 "
Griffith (C),New South Wales,Outer Regional Australia,78.4%,49.0%," 21,512 "
Gunnedah (A),New South Wales,Outer Regional Australia,71.9%,36.9%," 9,949 "
Gwydir (A),New South Wales,Outer Regional Australia,72.1%,43.2%," 4,307 "
Hawkesbury (C),New South Wales,Major Cities of Australia,84.7%,53.1%," 54,071 "
Hay (A),New South Wales,Outer Regional Australia,89.5%,62.8%," 2,422 "
Hilltops (A),New South Wales,Inner Regional Australia,86.4%,51.9%," 14,962 "
Hornsby (A),New South Wales,Major Cities of Australia,91.9%,66.6%," 122,259 "
Hunters Hill (A),New South Wales,Major Cities of Australia,83.9%,64.8%," 12,189 "
Inner West (A),New South Wales,Major Cities of Australia,77.6%,56.5%," 171,244 "
Inverell (A),New South Wales,Outer Regional Australia,71.4%,37.6%," 13,454 "
Junee (A),New South Wales,Inner Regional Australia,67.3%,41.7%," 5,520 "
Kempsey (A),New South Wales,Inner Regional Australia,74.8%,40.2%," 24,440 "
Kiama (A),New South Wales,Inner Regional Australia,85.0%,60.8%," 19,363 "
Ku-ring-gai (A),New South Wales,Major Cities of Australia,93.4%,71.0%," 101,869 "
Kyogle (A),New South Wales,Inner Regional Australia,71.2%,41.2%," 7,285 "
Lachlan (A),New South Wales,Outer Regional Australia,91.0%,58.7%," 4,668 "
Lake Macquarie (C),New South Wales,Major Cities of Australia,79.6%,49.0%," 167,047 "
Lane Cove (A),New South Wales,Major Cities of Australia,86.2%,63.9%," 32,784 "
Leeton (A),New South Wales,Outer Regional Australia,71.4%,45.0%," 9,024 "
Lismore (C),New South Wales,Inner Regional Australia,68.2%,38.5%," 35,892 "
Lithgow (C),New South Wales,Inner Regional Australia,80.3%,44.8%," 17,865 "
Liverpool (C),New South Wales,Major Cities of Australia,84.6%,51.0%," 176,376 "
Liverpool Plains (A),New South Wales,Outer Regional Australia,72.2%,40.4%," 6,396 "
Lockhart (A),New South Wales,Outer Regional Australia,80.6%,55.9%," 2,585 "
Maitland (C),New South Wales,Major Cities of Australia,75.3%,42.7%," 66,688 "
Mid-Coast (A),New South Wales,Inner Regional Australia,78.6%,48.7%," 79,221 "
Mid-Western Regional (A),New South Wales,Inner Regional Australia,86.9%,39.9%," 19,963 "
Moree Plains (A),New South Wales,Outer Regional Australia,70.9%,44.0%," 10,216 "
Mosman (A),New South Wales,Major Cities of Australia,86.4%,66.6%," 25,604 "
Murray River (A),New South Wales,Inner Regional Australia,>95%,67.3%," 9,910 "
Murrumbidgee (A),New South Wales,Outer Regional Australia,72.7%,43.4%," 3,114 "
Muswellbrook (A),New South Wales,Inner Regional Australia,68.6%,34.1%," 12,673 "
Nambucca (A),New South Wales,Outer Regional Australia,75.2%,46.7%," 16,485 "
Narrabri (A),New South Wales,Outer Regional Australia,80.2%,38.0%," 10,213 "
Narrandera (A),New South Wales,Outer Regional Australia,74.2%,47.1%," 4,651 "
Narromine (A),New South Wales,Outer Regional Australia,90.1%,52.2%," 5,093 "
Newcastle (C),New South Wales,Major Cities of Australia,75.2%,47.4%," 137,452 "
North Sydney (A),New South Wales,Major Cities of Australia,79.2%,58.0%," 65,324 "
Northern Beaches (A),New South Wales,Major Cities of Australia,87.7%,60.0%," 221,234 "
Oberon (A),New South Wales,Inner Regional Australia,80.8%,48.4%," 4,472 "
Orange (C),New South Wales,Inner Regional Australia,90.1%,51.7%," 33,170 "
Parkes (A),New South Wales,Outer Regional Australia,84.5%,52.0%," 11,785 "
Parramatta (C),New South Wales,Major Cities of Australia,87.6%,57.0%," 209,432 "
Penrith (C),New South Wales,Major Cities of Australia,85.6%,50.1%," 167,408 "
Port Macquarie-Hastings (A),New South Wales,Inner Regional Australia,82.7%,52.6%," 70,143 "
Port Stephens (A),New South Wales,Inner Regional Australia,80.9%,50.1%," 60,306 "
Queanbeyan-Palerang Regional (A),New South Wales,Major Cities of Australia,75.9%,48.4%," 48,845 "
Randwick (C),New South Wales,Major Cities of Australia,74.1%,50.9%," 133,377 "
Richmond Valley (A),New South Wales,Inner Regional Australia,69.6%,41.8%," 18,938 "
Ryde (C),New South Wales,Major Cities of Australia,83.2%,56.7%," 110,141 "
Shellharbour (C),New South Wales,Major Cities of Australia,79.3%,50.1%," 58,715 "
Shoalhaven (C),New South Wales,Inner Regional Australia,82.2%,54.8%," 87,725 "
Singleton (A),New South Wales,Inner Regional Australia,74.4%,37.6%," 18,334 "
Snowy Monaro Regional (A),New South Wales,Outer Regional Australia,79.3%,48.9%," 17,214 "
Snowy Valleys (A),New South Wales,Inner Regional Australia,78.7%,46.1%," 11,726 "
Strathfield (A),New South Wales,Major Cities of Australia,84.9%,53.9%," 40,017 "
Sutherland Shire (A),New South Wales,Major Cities of Australia,88.9%,62.6%," 187,018 "
Sydney (C),New South Wales,Major Cities of Australia,67.3%,46.1%," 229,059 "
Tamworth Regional (A),New South Wales,Inner Regional Australia,77.0%,45.0%," 49,648 "
Temora (A),New South Wales,Outer Regional Australia,84.7%,42.6%," 5,095 "
Tenterfield (A),New South Wales,Outer Regional Australia,71.6%,38.3%," 5,553 "
The Hills Shire (A),New South Wales,Major Cities of Australia,>95%,67.9%," 140,271 "
Tweed (A),New South Wales,Major Cities of Australia,71.7%,45.0%," 80,193 "
Upper Hunter Shire (A),New South Wales,Inner Regional Australia,82.6%,51.2%," 11,302 "
Upper Lachlan Shire (A),New South Wales,Inner Regional Australia,84.7%,49.9%," 6,603 "
Uralla (A),New South Wales,Outer Regional Australia,79.6%,51.7%," 4,895 "
Wagga Wagga (C),New South Wales,Inner Regional Australia,77.7%,50.9%," 51,794 "
Walcha (A),New South Wales,Outer Regional Australia,88.8%,63.5%," 2,585 "
Walgett (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 4,688 "
Warren (A),New South Wales,Outer Regional Australia,90.0%,62.9%," 2,115 "
Warrumbungle Shire (A),New South Wales,Outer Regional Australia,83.8%,43.1%," 7,566 "
Waverley (A),New South Wales,Major Cities of Australia,78.4%,56.6%," 62,490 "
Weddin (A),New South Wales,Outer Regional Australia,89.9%,54.1%," 3,030 "
Wentworth (A),New South Wales,Outer Regional Australia,70.8%,41.3%," 5,625 "
Willoughby (C),New South Wales,Major Cities of Australia,84.0%,59.8%," 65,599 "
Wingecarribee (A),New South Wales,Inner Regional Australia,85.8%,59.7%," 42,191 "
Wollondilly (A),New South Wales,Inner Regional Australia,82.4%,50.6%," 41,492 "
Wollongong (C),New South Wales,Major Cities of Australia,76.4%,50.7%," 179,317 "
Woollahra (A),New South Wales,Major Cities of Australia,84.4%,66.5%," 50,326 "
Yass Valley (A),New South Wales,Inner Regional Australia,79.3%,51.5%," 13,497 "
Unincorporated NSW,New South Wales,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 801 
Alpine (S),Victoria,Inner Regional Australia,83.3%,54.9%," 10,732 "
Ararat (RC),Victoria,Inner Regional Australia,78.6%,54.2%," 9,944 "
Ballarat (C),Victoria,Inner Regional Australia,76.8%,50.1%," 88,323 "
Banyule (C),Victoria,Major Cities of Australia,77.6%,51.9%," 107,523 "
Bass Coast (S),Victoria,Inner Regional Australia,85.7%,56.2%," 30,332 "
Baw Baw (S),Victoria,Inner Regional Australia,73.4%,47.3%," 42,887 "
Bayside (C),Victoria,Major Cities of Australia,84.8%,59.1%," 87,219 "
Benalla (RC),Victoria,Inner Regional Australia,80.8%,58.1%," 11,824 "
Boroondara (C),Victoria,Major Cities of Australia,79.3%,54.3%," 152,935 "
Brimbank (C),Victoria,Major Cities of Australia,64.7%,35.3%," 171,362 "
Buloke (S),Victoria,Outer Regional Australia,86.3%,61.6%," 5,123 "
Campaspe (S),Victoria,Inner Regional Australia,83.1%,50.2%," 30,917 "
Cardinia (S),Victoria,Major Cities of Australia,71.0%,39.0%," 86,129 "
Casey (C),Victoria,Major Cities of Australia,70.0%,37.5%," 273,232 "
Central Goldfields (S),Victoria,Inner Regional Australia,79.6%,57.4%," 11,110 "
Colac-Otway (S),Victoria,Inner Regional Australia,78.3%,50.3%," 17,696 "
Corangamite (S),Victoria,Inner Regional Australia,83.3%,52.8%," 13,141 "
Darebin (C),Victoria,Major Cities of Australia,64.4%,38.7%," 139,021 "
East Gippsland (S),Victoria,Outer Regional Australia,81.2%,56.6%," 39,596 "
Frankston (C),Victoria,Major Cities of Australia,71.5%,42.1%," 115,844 "
Gannawarra (S),Victoria,Outer Regional Australia,83.4%,50.2%," 8,756 "
Glen Eira (C),Victoria,Major Cities of Australia,75.8%,49.1%," 128,766 "
Glenelg (S),Victoria,Outer Regional Australia,81.5%,50.7%," 16,561 "
Golden Plains (S),Victoria,Inner Regional Australia,75.7%,47.6%," 18,450 "
Greater Bendigo (C),Victoria,Inner Regional Australia,79.2%,53.0%," 95,200 "
Greater Dandenong (C),Victoria,Major Cities of Australia,64.7%,33.0%," 138,053 "
Greater Geelong (C),Victoria,Major Cities of Australia,81.2%,53.0%," 211,830 "
Greater Shepparton (C),Victoria,Inner Regional Australia,79.7%,43.8%," 52,988 "
Hepburn (S),Victoria,Inner Regional Australia,80.2%,57.2%," 13,467 "
Hindmarsh (S),Victoria,Outer Regional Australia,82.5%,50.3%," 4,723 "
Hobsons Bay (C),Victoria,Major Cities of Australia,73.0%,44.3%," 79,604 "
Horsham (RC),Victoria,Outer Regional Australia,78.6%,52.0%," 16,016 "
Hume (C),Victoria,Major Cities of Australia,64.5%,31.6%," 180,782 "
Indigo (S),Victoria,Inner Regional Australia,85.1%,53.9%," 13,733 "
Kingston (C) (Vic.),Victoria,Major Cities of Australia,75.3%,46.7%," 136,655 "
Knox (C),Victoria,Major Cities of Australia,74.6%,45.3%," 135,647 "
Latrobe (C) (Vic.),Victoria,Inner Regional Australia,68.2%,42.1%," 61,811 "
Loddon (S),Victoria,Outer Regional Australia,78.6%,51.4%," 6,339 "
Macedon Ranges (S),Victoria,Inner Regional Australia,85.3%,57.0%," 39,626 "
Manningham (C),Victoria,Major Cities of Australia,76.6%,48.8%," 106,558 "
Mansfield (S),Victoria,Outer Regional Australia,83.3%,48.9%," 7,567 "
Maribyrnong (C),Victoria,Major Cities of Australia,67.7%,40.5%," 79,009 "
Maroondah (C),Victoria,Major Cities of Australia,75.0%,46.6%," 96,377 "
Melbourne (C),Victoria,Major Cities of Australia,59.2%,30.5%," 168,298 "
Melton (C),Victoria,Major Cities of Australia,67.5%,33.4%," 124,611 "
Mildura (RC),Victoria,Outer Regional Australia,71.3%,40.9%," 45,044 "
Mitchell (S),Victoria,Inner Regional Australia,70.9%,42.7%," 36,387 "
Moira (S),Victoria,Inner Regional Australia,82.7%,50.0%," 24,759 "
Monash (C),Victoria,Major Cities of Australia,71.4%,42.7%," 171,519 "
Moonee Valley (C),Victoria,Major Cities of Australia,72.5%,46.1%," 108,789 "
Moorabool (S),Victoria,Major Cities of Australia,77.7%,44.4%," 27,901 "
Moreland (C),Victoria,Major Cities of Australia,65.9%,38.3%," 156,305 "
Mornington Peninsula (S),Victoria,Major Cities of Australia,80.1%,55.0%," 138,719 "
Mount Alexander (S),Victoria,Inner Regional Australia,82.9%,58.4%," 16,789 "
Moyne (S),Victoria,Inner Regional Australia,84.0%,53.4%," 13,498 "
Murrindindi (S),Victoria,Inner Regional Australia,74.7%,47.6%," 12,242 "
Nillumbik (S),Victoria,Major Cities of Australia,82.7%,53.9%," 52,476 "
Northern Grampians (S),Victoria,Inner Regional Australia,82.2%,52.7%," 9,646 "
Port Phillip (C),Victoria,Major Cities of Australia,68.6%,44.3%," 102,175 "
Pyrenees (S),Victoria,Inner Regional Australia,76.3%,52.3%," 6,297 "
Queenscliffe (B),Victoria,Inner Regional Australia,>95%,80.1%," 2,610 "
South Gippsland (S),Victoria,Inner Regional Australia,79.7%,50.4%," 24,475 "
Southern Grampians (S),Victoria,Inner Regional Australia,86.4%,56.5%," 13,285 "
Stonnington (C),Victoria,Major Cities of Australia,71.9%,46.7%," 103,900 "
Strathbogie (S),Victoria,Inner Regional Australia,80.7%,53.9%," 9,174 "
Surf Coast (S),Victoria,Inner Regional Australia,90.8%,63.1%," 26,584 "
Swan Hill (RC),Victoria,Outer Regional Australia,82.0%,47.7%," 16,639 "
Towong (S),Victoria,Outer Regional Australia,83.5%,53.6%," 5,068 "
Wangaratta (RC),Victoria,Inner Regional Australia,82.2%,51.8%," 23,818 "
Warrnambool (C),Victoria,Inner Regional Australia,85.9%,56.0%," 28,859 "
Wellington (S),Victoria,Inner Regional Australia,75.5%,51.5%," 36,486 "
West Wimmera (S),Victoria,Outer Regional Australia,77.9%,49.3%," 3,178 "
Whitehorse (C),Victoria,Major Cities of Australia,75.5%,47.0%," 149,611 "
Whittlesea (C),Victoria,Major Cities of Australia,63.5%,34.7%," 180,925 "
Wodonga (C),Victoria,Inner Regional Australia,76.8%,48.5%," 33,295 "
Wyndham (C),Victoria,Major Cities of Australia,75.0%,36.6%," 201,181 "
Yarra (C),Victoria,Major Cities of Australia,67.5%,42.5%," 90,535 "
Yarra Ranges (S),Victoria,Major Cities of Australia,71.9%,43.2%," 129,169 "
Yarriambiack (S),Victoria,Outer Regional Australia,82.0%,57.8%," 5,517 "
Unincorporated Vic,Victoria,Outer Regional Australia,38.5%,17.8%, 768 
Aurukun (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,015 "
Balonne (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,368 "
Banana (S),Queensland,Outer Regional Australia,49.2%,31.2%," 11,003 "
Barcaldine (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,254 "
Barcoo (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 230 
Blackall-Tambo (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,476 "
Boulia (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 336 
Brisbane (C),Queensland,Major Cities of Australia,66.6%,47.6%," 1,033,592 "
Bulloo (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 272 
Bundaberg (R),Queensland,Inner Regional Australia,61.4%,43.2%," 79,061 "
Burdekin (S),Queensland,Outer Regional Australia,57.2%,36.3%," 14,053 "
Burke (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 289 
Cairns (R),Queensland,Outer Regional Australia,63.4%,45.9%," 133,038 "
Carpentaria (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,547 "
Cassowary Coast (R),Queensland,Outer Regional Australia,56.7%,37.1%," 24,343 "
Central Highlands (R) (Qld),Queensland,Outer Regional Australia,43.5%,28.9%," 21,430 "
Charters Towers (R),Queensland,Outer Regional Australia,43.9%,29.4%," 9,384 "
Cherbourg (S),Queensland,Inner Regional Australia,29.4%,18.1%, 841 
Cloncurry (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,437 "
Cook (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,640 "
Croydon (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 216 
Diamantina (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 252 
Doomadgee (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 922 
Douglas (S),Queensland,Outer Regional Australia,60.6%,41.9%," 10,354 "
Etheridge (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 616 
Flinders (S) (Qld),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,209 "
Fraser Coast (R),Queensland,Inner Regional Australia,65.8%,47.1%," 88,940 "
Gladstone (R),Queensland,Inner Regional Australia,51.6%,33.4%," 48,845 "
Gold Coast (C),Queensland,Major Cities of Australia,57.3%,39.0%," 507,632 "
Goondiwindi (R),Queensland,Outer Regional Australia,82.1%,66.7%," 8,385 "
Gympie (R),Queensland,Inner Regional Australia,58.5%,37.7%," 42,934 "
Hinchinbrook (S),Queensland,Outer Regional Australia,71.2%,52.3%," 9,092 "
Hope Vale (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A, 783 
Ipswich (C),Queensland,Major Cities of Australia,55.2%,36.1%," 169,205 "
Isaac (R),Queensland,Outer Regional Australia,32.5%,17.8%," 15,572 "
Kowanyama (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 710 
Livingstone (S),Queensland,Inner Regional Australia,54.5%,36.6%," 30,952 "
Lockhart River (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 560 
Lockyer Valley (R),Queensland,Inner Regional Australia,52.9%,30.0%," 33,721 "
Logan (C),Queensland,Major Cities of Australia,51.2%,32.2%," 257,354 "
Longreach (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,855 "
Mackay (R),Queensland,Inner Regional Australia,53.2%,34.6%," 92,238 "
McKinlay (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 646 
Mapoon (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 252 
Maranoa (R),Queensland,Outer Regional Australia,65.7%,52.6%," 9,851 "
Mareeba (S),Queensland,Outer Regional Australia,51.9%,37.5%," 18,704 "
Moreton Bay (R),Queensland,Major Cities of Australia,62.5%,42.5%," 372,012 "
Mornington (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 875 
Mount Isa (C),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 14,035 "
Murweh (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,371 "
Napranum (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 728 
Noosa (S),Queensland,Major Cities of Australia,67.0%,46.3%," 47,060 "
North Burnett (R),Queensland,Outer Regional Australia,56.2%,40.5%," 8,782 "
Northern Peninsula Area (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,018 "
Palm Island (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,828 "
Paroo (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,254 "
Pormpuraaw (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 581 
Quilpie (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 582 
Redland (C),Queensland,Major Cities of Australia,64.1%,44.1%," 128,912 "
Richmond (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 627 
Rockhampton (R),Queensland,Inner Regional Australia,53.6%,36.8%," 64,482 "
Scenic Rim (R),Queensland,Inner Regional Australia,55.8%,36.3%," 35,027 "
Somerset (R),Queensland,Inner Regional Australia,57.0%,33.2%," 20,963 "
South Burnett (R),Queensland,Inner Regional Australia,54.5%,33.5%," 26,417 "
Southern Downs (R),Queensland,Inner Regional Australia,66.4%,37.2%," 28,960 "
Sunshine Coast (R),Queensland,Major Cities of Australia,63.8%,45.7%," 268,741 "
Tablelands (R),Queensland,Outer Regional Australia,62.6%,47.4%," 20,959 "
Toowoomba (R),Queensland,Inner Regional Australia,62.0%,42.8%," 134,800 "
Torres (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,882 "
Torres Strait Island (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,436 "
Townsville (C),Queensland,Outer Regional Australia,59.9%,43.5%," 156,137 "
Weipa (T),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,180 "
Western Downs (R),Queensland,Outer Regional Australia,52.2%,34.5%," 26,827 "
Whitsunday (R),Queensland,Outer Regional Australia,47.8%,27.5%," 29,012 "
Winton (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 967 
Woorabinda (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A, 679 
Wujal Wujal (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A, 229 
Yarrabah (S),Queensland,Outer Regional Australia,28.1%,14.5%," 1,919 "
Adelaide (C),South Australia,Major Cities of Australia,66.4%,46.2%," 24,015 "
Adelaide Hills (DC),South Australia,Major Cities of Australia,74.9%,55.2%," 32,450 "
Adelaide Plains (DC),South Australia,Inner Regional Australia,49.2%,31.6%," 7,450 "
Alexandrina (DC),South Australia,Inner Regional Australia,66.4%,49.7%," 23,281 "
Anangu Pitjantjatjara (AC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,947 "
Barossa (DC),South Australia,Inner Regional Australia,69.0%,52.2%," 20,392 "
Barunga West (DC),South Australia,Outer Regional Australia,69.9%,55.2%," 2,207 "
Berri and Barmera (DC),South Australia,Outer Regional Australia,61.4%,41.9%," 8,879 "
Burnside (C),South Australia,Major Cities of Australia,79.2%,59.5%," 37,949 "
Campbelltown (C) (SA),South Australia,Major Cities of Australia,63.7%,44.2%," 43,509 "
Ceduna (DC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,730 "
Charles Sturt (C),South Australia,Major Cities of Australia,58.9%,39.1%," 100,321 "
Clare and Gilbert Valleys (DC),South Australia,Inner Regional Australia,68.2%,49.0%," 7,775 "
Cleve (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,443 "
Coober Pedy (DC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,512 "
Copper Coast (DC),South Australia,Outer Regional Australia,64.9%,47.0%," 12,687 "
Elliston (DC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 805 
Flinders Ranges (DC),South Australia,Outer Regional Australia,70.0%,48.8%," 1,418 "
Franklin Harbour (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,076 "
Gawler (T),South Australia,Major Cities of Australia,65.9%,47.2%," 19,974 "
Goyder (DC),South Australia,Outer Regional Australia,54.6%,37.4%," 3,524 "
Grant (DC),South Australia,Outer Regional Australia,18.0%,9.0%," 7,072 "
Holdfast Bay (C),South Australia,Major Cities of Australia,75.5%,55.9%," 32,295 "
Kangaroo Island (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 4,161 "
Karoonda East Murray (DC),South Australia,Outer Regional Australia,52.1%,37.7%, 915 
Kimba (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 813 
Kingston (DC) (SA),South Australia,Outer Regional Australia,70.4%,54.6%," 1,982 "
Light (RegC),South Australia,Inner Regional Australia,52.7%,37.7%," 12,222 "
Lower Eyre Peninsula (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 4,679 "
Loxton Waikerie (DC),South Australia,Outer Regional Australia,59.7%,39.2%," 9,682 "
